text,sentiment
"So how long before Donald Trump gets distracted by a different shiny object? #Squirrel 
I felt embarrassed for my nation during #GOPDebate",Negative
"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates.",Positive
"That pose is SO awkward. Who in the hell did she work with?  She's stiff, not natural. Kinda like the #GOPDebate last night. @Pissed_Pat",Negative
RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. #GOPDebate #GOPDeb…,Positive
RT @PresidentMadan: This comes as a generalization but most Americans care too much about eloquence and not enough about substance. #GOPDeb…,Negative
RT @JohnKasich: Giving a free #Kasich4Us hat away - random from the first 250 RTs! GO! #GOPDebate http://t.co/MgwMsSLRDP,Positive
.@CarlyFiorina Shows How to Push Back Against Matthews on @Hardball #msnbc #mediabias #GOPDebate  http://t.co/mA5onTHRIo,Positive
RT @monaeltahawy: Paging the Donald: you can't beat Jamaica in soccer either #GOPDebates,Negative
"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A",Positive
"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…",Negative
"Trump: Banks aren't babies. They are killers. Hell yes I got away from bad deals, and I can make the USA a scofflaw too! #GOPdebates",Negative
"@megynkelly, I thought you did a fabulous job at the #GOPDebate debate.  (and I'm a Democrat).",Positive
"RT @FrankLuntz: Tonight’s biggest winner may have very well been @CarlyFiorina.

#GOPDebate",Positive
"RT @marymauldin: Dig into everyone's financials if you are doing that to #Trump ! 
#GOPDebates",Negative
"@megynkelly going.Ronda Rousey on @realDonaldTrump 's  posterior and his childish comeback was a ""where were you when?"" moment.#GOPDebate",Negative
"RT @RealBPhil: .@FoxNews's @ChrisStirewalt: Cruz ""turned in a solid performance"" #CruzCrew #GOPDebate #consensus #theexpertsagree",Positive
"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",Positive
"""We don't win anymore.  We lose to China.  We lose to Mexico.  We lose to everybody."" -Trump

Preach it, sir, preach it! #GOPDebate",Positive
"That @FoxNews is so left wing, I'm going to switch to the fair &amp; balanced MSNBC. #GOPDebate",Negative
"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…",Negative
